title,year,genre,imdb
Animal Factory,2000,"Crime, Drama",6.6
The Boy with the X-Ray Eyes,2000,"Adventure, Comedy, Family",3.3
Boys and Girls,2000,"Comedy, Drama, Romance",5.4
Deadly Duo,2000,Mystery,5.3
Deadly Nightshade,2000,"Crime, Drama",6.7
Death of a Saleswoman,2000,"Comedy, Mystery",1.6
Exorcist: The Beginning,2000,"Horror, Mystery, Thriller",5.2
Firecracker,2000,"Crime, Drama, Mystery",5.4
Poor White Trash,2000,"Comedy, Crime",5.1
Sordid Lives,2000,"Comedy, Romance",6.8
That Little Monster,2000,"Comedy, Horror, Sci-Fi",5.6
Women Unchained,2000,Drama,3.9
The Black Cobra 3,2000,Action,5
Book of Days,2000,Drama,6.9
Camera Obscura,2000,"Crime, Drama, Thriller",4.2
Bring It On,2000,"Comedy, Romance, Sport",6
Where's George?,2000,Comedy,3.7
Deuce Bigalow: Male Gigolo,2000,"Comedy, Romance",5.7
The Smokers,2000,Thriller,2.9
Thomas and the Magic Railroad,2000,"Adventure, Comedy, Drama",4.1
Venus and Mars,2000,"Comedy, Romance",6.5
Wildflower,2000,Thriller,3.6
Blue Vengeance,2000,"Action, Crime, Horror",4.8
The Dish,2000,"Comedy, Drama, History",7.1
Five Seconds to Spare,2000,"Crime, Mystery, Thriller",5.3
Is That All There Is?,2000,Comedy,6.9
The King's Guard,2000,Adventure,3.2
Madison,2000,"Drama, Sport",6.3
On Edge,2000,"Comedy, Romance, Sport",5.2
Psycho Beach Party,2000,"Comedy, Horror, Mystery",6.2
Quick Billy,2000,Drama,7
Save the Last Dance,2000,"Drama, Music, Romance",6.2
Sexual Chemistry,2000,"Comedy, Sci-Fi",5.1
Joy Ride,2000,"Action, Mystery, Thriller",6.6
The Trumpet of the Swan,2000,"Animation, Drama, Family",5.1
Yellowstone Cubs,2000,Family,6.8
Another Son of Sam,2000,"Crime, Horror, Thriller",2.9
Don't Talk to Strange Men,2000,"Crime, Drama",6.7
Landscape Suicide,2000,"Crime, Drama",7.6
Maybe Baby,2000,"Comedy, Romance",5.7
My First Mister,2000,"Comedy, Drama, Romance",7.1
Rollergator,2000,Family,1.2
Shallow Grave,2000,"Drama, Horror",5.6
Time Share,2000,"Comedy, Family, Romance",5.8
What Women Want,2000,"Comedy, Fantasy, Romance",6.4
Winding Roads,2000,Drama,4.7
Believe,2000,"Family, Horror",5.2
Brotherhood of Death,2000,"Action, Drama, Thriller",5.5
Carnival Magic,2000,Fantasy,2.3
Chain of Command,2000,"Action, Adventure, Thriller",4.6
Detective Kitty O'Day,2000,"Comedy, Mystery, Romance",5.5
How to Kill Your Neighbor's Dog,2000,"Comedy, Drama",6.9
Lloyd,2000,"Comedy, Drama, Family",6
