title,year,genre,imdb
Cleopatra,1912,"Drama, History",5.2
"From the Manger to the Cross; or, Jesus of Nazareth",1912,"Biography, Drama",5.7
Richard III,1912,Drama,5.5
"Home, Sweet Home",1914,Drama,5.8
Traffic in Souls,1913,"Crime, Drama",6
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime, Drama, Horror",6.4
The Bargain,1914,Western,6.5
Cinderella,1914,"Fantasy, Drama",6
A Florida Enchantment,1914,Comedy,5.8
"His Majesty, the Scarecrow of Oz",1914,"Family, Fantasy, Adventure",5.2
Hypocrites,1915,Drama,6.6
In the Land of the Head Hunters,1914,"Drama, History",5.8
Judith of Bethulia,1914,Drama,6.1
The Patchwork Girl of Oz,1914,"Adventure, Family, Fantasy",5.5
The Perils of Pauline,1914,"Action, Adventure, Drama",6.3
The Squaw Man,1914,"Action, Drama, Romance",5.7
Tess of the Storm Country,1914,Drama,6.1
The Virginian,1914,Western,5.6
The Wishing Ring: An Idyll of Old England,1914,"Comedy, Drama",6.4
The Wrath of the Gods,1914,"Drama, Romance",5.7
Alias Jimmy Valentine,1915,"Crime, Drama",6.6
Alice in Wonderland,1915,"Adventure, Family, Fantasy",6.2
Carmen,1915,Drama,6.4
The Cheat,1915,"Drama, Romance",6.6
The Coward,1915,"Drama, History, War",6
A Fool There Was,1915,Drama,5.8
The Golden Chance,1915,Drama,6.4
The Italian,1915,Drama,6.6
Martyrs of the Alamo,1915,"Drama, History, War",5.6
The Nigger,1915,Drama,6.1
The Regeneration,1915,"Biography, Crime, Drama",6.8
Young Romance,1915,Comedy,5.9
"20,000 Leagues Under the Sea",1916,"Action, Adventure, Sci-Fi",6.2
The Children in the House,1916,Drama,4.5
Civilization,1915,Drama,6
The Devil's Needle,1916,Drama,6.8
Flirting with Fate,1916,"Adventure, Comedy",6.4
Going Straight,1916,"Crime, Drama",5.3
The Good Bad-Man,1916,"Romance, Western",6.6
Gretchen the Greenhorn,1916,"Crime, Drama, Romance",5.7
The Half-Breed,1916,Western,6.6
Hell's Hinges,1916,"Romance, Western",6.8
His Picture in the Papers,1916,Comedy,5.9
Hoodoo Ann,1916,"Comedy, Drama, Romance",5.6
Intolerance: Love's Struggle Throughout the Ages,1916,"Drama, History",7.8
The Matrimaniac,1916,"Comedy, Romance",6
Reggie Mixes In,1916,"Action, Comedy, Drama",4.7
The Return of Draw Egan,1916,"Action, Adventure, Romance",6.5
Sherlock Holmes,1916,Mystery,6.4
Shoes,1916,Drama,6.8
Snow White,1916,"Fantasy, Romance",6.2
The Social Secretary,1916,"Comedy, Drama",5.3
Where Are My Children?,1916,Drama,6.3
'49-'17,1917,"Drama, Western",5.9
Bucking Broadway,1917,Western,6
Cleopatra,1917,"Biography, Drama, History",6.5
Joan the Woman,1916,"Adventure, Drama, History",6.5
The Little American,1917,"Drama, Romance, War",5.9
The Little Princess,1917,Drama,5.7
A Modern Musketeer,1917,"Adventure, Comedy, Western",6.7
The Poor Little Rich Girl,1917,"Comedy, Drama, Family",6.7
"Raffles, the Amateur Cracksman",1917,"Adventure, Crime, Romance",6.4
Rebecca of Sunnybrook Farm,1917,"Comedy, Drama",6.1
Straight Shooting,1917,Western,6.2
Tom Sawyer,1917,"Adventure, Comedy, Drama",6.1
Wild and Woolly,1917,"Comedy, Western, Romance",6.4
Amarilly of Clothes-Line Alley,1918,"Comedy, Romance",5.8
The Blue Bird,1918,"Family, Fantasy",7
Broadway Love,1918,Romance,6
The Forbidden City,1918,"Drama, Romance",5.4
Hearts of the World,1918,"Drama, War",6.4
Johanna Enlists,1918,"Comedy, Romance",5.1
M'Liss,1918,"Comedy, Drama",6.5
The Married Virgin,1918,Drama,5.2
Mickey,1918,"Comedy, Drama",5.9
Old Wives for New,1918,Drama,6.4
A Pair of Silk Stockings,1918,"Comedy, Romance",4.4
A Romance of Happy Valley,1919,"Drama, Romance",6.1
Shifting Sands,1918,Drama,5.1
The Unbeliever,1918,"Drama, War",5.9
The Whispering Chorus,1918,Drama,6.8
Behind the Door,1919,"Drama, Thriller, War",7.1
Blind Husbands,1919,"Drama, Romance",7
The Busher,1919,"Drama, Sport",5.7
Daddy-Long-Legs,1919,"Comedy, Drama",6.5
The Delicious Little Devil,1919,"Comedy, Drama",5.9
Eyes of Youth,1919,Drama,5.3
"For Better, for Worse",1919,Drama,5.4
Getting Mary Married,1919,Comedy,6.5
The Greatest Question,1919,Drama,5.8
The Grim Game,1919,"Adventure, Drama",6.8
Hawthorne of the U.S.A.,1919,"Adventure, Comedy, Romance",3.9
Heart o' the Hills,1919,"Drama, Romance",5.6
The Hoodlum,1919,Comedy,6.7
Male and Female,1919,"Adventure, Drama",7
The Miracle Man,1919,Drama,6.6
The Roaring Road,1919,"Comedy, Drama, Sport",5.2
Scarlet Days,1919,"Adventure, Romance, Western",4.9
The Sentimental Bloke,1919,"Drama, Romance",6.3
True Heart Susie,1919,"Comedy, Drama, Romance",7
Victory,1919,"Drama, Romance",6.6
When the Clouds Roll by,1919,"Action, Comedy, Romance",6.9
The Wicked Darling,1919,"Drama, Crime",6.4
Yankee Doodle in Berlin,1919,Comedy,5.5
April Folly,1920,"Drama, Crime",6.4
Dr. Jekyll and Mr. Hyde,1920,"Drama, Horror, Sci-Fi",7
The Flapper,1920,Comedy,6.6
Headin' Home,1920,"Biography, Comedy, Drama",5.1
The Jack-Knife Man,1920,Drama,6.2
Just Pals,1920,"Comedy, Drama, Western",6.6
The Last of the Mohicans,1920,"Action, Adventure, Drama",6.7
The Love Flower,1920,Drama,5.9
The Mollycoddle,1920,"Adventure, Comedy, Romance",6.5
Pollyanna,1920,"Family, Comedy, Drama",6.4
The Restless Sex,1920,Drama,6.1
The Round-Up,1920,"Comedy, Western",5.7
Suds,1920,"Comedy, Drama, Romance",6.3
Terror Island,1920,Mystery,5.5
The Toll Gate,1920,"Adventure, Drama, Western",6.5
Why Change Your Wife?,1920,"Comedy, Drama",6.7
Adventures of Tarzan,1921,"Action, Adventure",6
Be My Wife,1921,Comedy,6.9
The Blot,1921,"Drama, Romance",6.8
Buried Treasure,1921,"Adventure, Fantasy, Romance",6.4
Camille,1921,"Drama, Romance",6.6
Ducks and Drakes,1921,"Comedy, Romance",6.4
Enchantment,1921,Comedy,6.4
Leap Year,1924,Comedy,6.1
Little Lord Fauntleroy,1921,Drama,6.7
The Love Light,1921,Drama,6.5
My Boy,1921,"Comedy, Drama",6.2
The Nut,1921,"Action, Comedy, Romance",6.5
Orphans of the Storm,1921,"Drama, History, Romance",7.4
Outside the Law,1920,"Crime, Romance, Thriller",6.5
The Sheik,1921,"Adventure, Drama, Romance",6.4
The Three Musketeers,1921,"Action, Adventure, Romance",6.9
Through the Back Door,1921,"Comedy, Drama",6.8
Too Wise Wives,1921,Drama,5.9
Beauty's Worth,1922,"Drama, Romance",6.1
The Bride's Play,1922,Romance,6.2
Dr. Jack,1922,"Comedy, Romance",7.1
Grandma's Boy,1922,"Comedy, Family",7
The Headless Horseman,1922,"Comedy, Drama, Horror",4.9
The Man from Beyond,1922,Mystery,5.4
Merry-Go-Round,1923,Drama,6.6
Oliver Twist,1922,Drama,6.7
Robin Hood,1922,"Adventure, Family, Romance",7.2
Shadows,1922,Drama,6.3
Sherlock Holmes,1922,"Drama, Mystery",5.8
Sky High,1922,"Action, Drama, Romance",5.8
Tess of the Storm Country,1922,"Drama, Romance",6.9
The Three Must-Get-Theres,1922,"Action, Adventure, Comedy",7
The Trap,1922,Drama,6
Trapped by the Mormons,1922,"Drama, Crime",5.8
When Knighthood Was in Flower,1922,"Romance, Drama",6.3
Cameo Kirby,1923,Drama,5.2
The Covered Wagon,1923,"Adventure, Romance, Western",6.6
The Extra Girl,1923,"Comedy, Romance",6.6
Haldane of the Secret Service,1923,"Adventure, Crime, Drama",5.5
Little Old New York,1923,"Comedy, Romance",6.2
Our Hospitality,1923,"Comedy, Romance, Thriller",7.8
Rosita,1923,"Romance, Comedy",6.5
Safety Last!,1923,"Action, Comedy, Thriller",8.1
The Shock,1923,Drama,6.5
Souls for Sale,1923,"Comedy, Drama, Romance",7
The Ten Commandments,1923,"Biography, Drama, Fantasy",6.8
The White Rose,1923,"Drama, Romance",6.4
The White Sister,1923,"Drama, Romance",6.8
White Tiger,1923,"Crime, Drama, Mystery",6.2
Why Worry?,1923,"Adventure, Comedy, Family",7.4
Zaza,1923,"Romance, Drama",6.2
Black Oxen,1923,"Drama, Romance, Sci-Fi",5.9
Captain January,1924,Drama,6.9
Dante's Inferno,1924,"Drama, Horror, Romance",5.7
Dorothy Vernon of Haddon Hall,1924,"Drama, History, Romance",6.9
The Enchanted Cottage,1924,Drama,6.5
The Family Secret,1924,Drama,6.3
Girl Shy,1924,"Comedy, Romance",7.7
He Who Gets Slapped,1924,"Drama, Romance, Thriller",7.8
The Iron Horse,1924,"History, Romance, Western",7.2
Isn't Life Wonderful,1924,"Drama, Romance",6.9
Janice Meredith,1924,"Drama, History, Romance",5.7
Manhandled,1924,"Drama, Comedy",6.5
Monsieur Beaucaire,1924,"Drama, Romance",5.7
Open All Night,1924,Comedy,4.7
The Sea Hawk,1924,"Adventure, Drama, Romance",7
Secrets,1924,Drama,5.5
Sherlock Jr.,1924,"Action, Comedy, Romance",8.2
The White Shadow,1924,Drama,6.3
Wild Oranges,1924,"Drama, Romance",6.8
Wine of Youth,1924,"Comedy, Drama",5.9
